# Testes analiticos, nao cotacao nem previsao comercial.
# Base hipotetica: spread=25 bps, tarifa fixa=R$40 e carry=4 bps.
# IOF incerto: BENS_SERVICOS OUT=38 bps e ATIVOS_VIRTUAIS OUT=350 bps na base.
# Cada Ordem e uma posicao liquida; nao ha deducao adicional de autonetting.
# Cada semente representa uma carteira-ano sintetica de 365 dias.
cenario,nome_mix,n_clientes,janela_dias,horizonte_dias,descricao,spread_bps,tarifa_fixa_brl,carry_bps,iof_bens_servicos_out_bps,iof_ativos_virtuais_out_bps,n_sementes,economia_estressada_bps_p10,economia_estressada_bps_p50,economia_estressada_bps_p90,fracao_economia_positiva
piso_sem_componentes_incertos,outbound_extremo,8,7,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,7.880680,9.908959,12.256103,1.000000
carry_25bps,outbound_extremo,8,7,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,18.731295,23.084898,27.315390,1.000000
combinado_severo,outbound_extremo,8,7,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,3.892667,5.284064,6.808809,1.000000
sem_carry,outbound_extremo,8,7,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,23.200720,28.662003,33.873499,1.000000
base_hipotetica,outbound_extremo,12,1,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,20.476526,24.341667,28.318260,1.000000
sem_spread,outbound_extremo,12,1,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,16.477302,19.596265,22.691125,1.000000
sem_tarifa_fixa,outbound_extremo,12,1,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,17.681441,21.503608,25.441385,1.000000
iof_incerto_zero,outbound_extremo,12,1,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,13.904004,16.321083,19.201385,1.000000
piso_sem_componentes_incertos,outbound_extremo,12,1,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,7.042998,8.737182,10.661295,1.000000
carry_25bps,outbound_extremo,12,1,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,17.125542,20.328677,23.557006,1.000000
combinado_severo,outbound_extremo,12,1,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,3.570153,4.662368,6.007798,1.000000
sem_carry,outbound_extremo,12,1,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,21.090814,25.101838,29.170372,1.000000
base_hipotetica,outbound_extremo,12,7,365,Hipoteses atuais do modelo; ainda nao calibradas.,25.000000,40.00,4.000000,38.000000,350.000000,300,20.640961,24.416594,28.531044,1.000000
sem_spread,outbound_extremo,12,7,365,Retira integralmente o spread evitado.,0.000000,40.00,4.000000,38.000000,350.000000,300,16.608392,19.714943,22.820251,1.000000
sem_tarifa_fixa,outbound_extremo,12,7,365,Retira integralmente a tarifa fixa evitada.,25.000000,0.00,4.000000,38.000000,350.000000,300,17.713773,21.559619,25.737781,1.000000
iof_incerto_zero,outbound_extremo,12,7,365,Zera somente as duas aliquotas de IOF ainda nao confirmadas.,25.000000,40.00,4.000000,0.000000,0.000000,300,13.821867,16.310850,19.167588,1.000000
piso_sem_componentes_incertos,outbound_extremo,12,7,365,"Zera spread, tarifa fixa e as duas aliquotas incertas; mantem carry em 4 bps.",0.000000,0.00,4.000000,0.000000,0.000000,300,7.012774,8.679464,10.653745,1.000000
carry_25bps,outbound_extremo,12,7,365,"Eleva o carry de 4 para 25 bps, sem alterar os demais componentes.",25.000000,40.00,25.000000,38.000000,350.000000,300,17.274646,20.498412,23.796589,1.000000
combinado_severo,outbound_extremo,12,7,365,Aplica o piso dos componentes incertos e eleva o carry para 25 bps.,0.000000,0.00,25.000000,0.000000,0.000000,300,3.525216,4.645267,5.987051,1.000000
sem_carry,outbound_extremo,12,7,365,Limite superior simples: retira o custo de carry e mantem o restante na base.,25.000000,40.00,0.000000,38.000000,350.000000,300,21.277813,25.197376,29.384209,1.000000
